Spieler	Verein	Position	Mio.Eu	void1	void2	PunktVorjahr	NoteVorjahr	void3	Gewicht  
Hack	Mainz	ABW	1,8			33	3,6	merken;		
Lang	Gladbach	ABW	1,8			35	3,5	merken;		
Schonlau	Paderborn	ABW	1,8					merken;		
Friedrich	Union	ABW	1,8					merken;		
Mittelstädt	Hertha	ABW	1,8			9	4,0	merken;		
Uduokhai	Wolfsburg	ABW	1,8			9	4,0	merken;		
Kenny	Schalke	ABW	1,8					merken;		
Ehizibue	Köln	ABW	1,8					merken;		
Pierre-Gabriel	Mainz	ABW	1,8					merken;		
Ampadu	Leipzig	ABW	1,8					merken;		
Bornauw	Köln	ABW	1,8					merken;		
Reichel	Union	ABW	1,7					merken;		
Brosinski	Mainz	ABW	1,7			40	3,8	merken;		
Suttner	Düsseldorf	ABW	1,7			22	3,3	merken;		
Chandler	Frankfurt	ABW	1,7			1		merken;		
Boyata	Hertha	ABW	1,7					merken;		
Czichos	Köln	ABW	1,7					merken;		
Zimmer	Düsseldorf	ABW	1,7			37	3,6	merken;		
Dräger	Paderborn	ABW	1,7					merken;		
St. Juste	Mainz	ABW	1,7					merken;		
Friedl	Bremen	ABW	1,7			2	3,9	merken;		
Posch	Hoffenheim	ABW	1,7			37	3,4	merken;		
William	Wolfsburg	ABW	1,7			47	3,7	merken;		
Adams	Düsseldorf	ABW	1,7			14	3,7	merken;		
Saracchi	Leipzig	ABW	1,7			21	3,4	merken;		
Iago	Augsburg	ABW	1,7					merken;		
Langkamp	Bremen	ABW	1,6			30	3,6	merken;		
Jantschke	Gladbach	ABW	1,6			27	3,5	merken;		
Hübner	Union	ABW	1,6					merken;		
Akpoguma	Hoffenheim	ABW	1,6			-3	4,2	merken;		
Klünter	Hertha	ABW	1,6			4	3,8	merken;		
Veljkovic	Bremen	ABW	1,6			23	3,7	merken;		
Lienhart	Freiburg	ABW	1,6			23	3,4	merken;		
Morey	Dortmund	ABW	1,6					merken;		
Collins	Paderborn	ABW	1,6					merken;		
Hünemeier	Paderborn	ABW	1,5					merken;		
Strohdiek	Paderborn	ABW	1,5					merken;		
Nordtveit	Hoffenheim	ABW	1,5			8	3,7	merken;		
Hoffmann	Düsseldorf	ABW	1,5			32	3,3	merken;		
Sobiech	Köln	ABW	1,5					merken;		
Bruma	Wolfsburg	ABW	1,5			-10	4,4	merken;		
Tisserand	Wolfsburg	ABW	1,5			15	3,8	merken;		
Holtmann	Paderborn	ABW	1,5			5	3,5	merken;		
Toure	Frankfurt	ABW	1,5			3	3,9	merken;		
Pedersen	Augsburg	ABW	1,5					merken;		
Schlotterbeck	Union	ABW	1,5			20	3,5	merken;		
Framberger	Augsburg	ABW	1,4			-3	4,2	merken;		
Kübler	Freiburg	ABW	1,4			27	3,6	merken;		
Jedvaj	Leverkusen	ABW	1,4			-5	4,1	merken;		
Itter	Freiburg	ABW	1,4			3	3,5	merken;		
Oxford	Augsburg	ABW	1,4			-28	5,0	merken;		
Balerdi	Dortmund	ABW	1,4			0		merken;		
Beyer	Gladbach	ABW	1,3			1	3,9	merken;		
Parensen	Union	ABW	1,2					merken;		
Pekarik	Hertha	ABW	1,2			-3	4,2	merken;		
Contento	Düsseldorf	ABW	1,2			0		merken;		
Sörensen	Köln	ABW	1,2					merken;		
Jans	Paderborn	ABW	1,2					merken;		
Insua	Schalke	ABW	1,2					merken;		
Falette	Frankfurt	ABW	1,2			-12	4,4	merken;		
Paulo Otavio	Wolfsburg	ABW	1,2					merken;		
Mendyl	Schalke	ABW	1,2			-16	4,5	merken;		
Lenz	Union	ABW	1,0					merken;		
Schmitz	Köln	ABW	1,0					merken;		
Bormuth	Düsseldorf	ABW	1,0			8	3,8	merken;		
Götze	Augsburg	ABW	1,0			9	4,0	merken;		
Russ	Frankfurt	ABW	0,8			2	3,9	merken;		
Doucouré	Gladbach	ABW	0,8			0		merken;		
Meier	Mainz	ABW	0,8			0		merken;		
Luan Candido	Leipzig	ABW	0,8					merken;		
Tawatha	Frankfurt	ABW	0,7			0	4,0	merken;		
Rapp	Union	ABW	0,7					merken;		
Bauer	Bremen	ABW	0,7			-38	4,5	merken;		
Schlotterbeck	Freiburg	ABW	0,6			7	3,0	merken;		
Katterbach	Köln	ABW	0,6					merken;		
Poulsen	Gladbach	ABW	0,6			0		merken;		
Lucas Ribeiro	Hoffenheim	ABW	0,6			0		merken;		
Kilian	Paderborn	ABW	0,5					merken;		
Rieder	Augsburg	ABW	0,4			0		merken;		
Bader	Köln	ABW	0,4					merken;		
Asta	Augsburg	ABW	0,4			-6	5,5	merken;		
Baak	Hertha	ABW	0,3			1		merken;		
Gürleyen	Mainz	ABW	0,3			1		merken;		
Rumpf	Paderborn	ABW	0,3					merken;		
Tawiah	Paderborn	ABW	0,3					merken;		
Carls	Schalke	ABW	0,2			-4	5,0	merken;		
Stanic	Augsburg	ABW	0,2			1		merken;		
Jakobs	Köln	ABW	0,2					merken;		
Maloney	Union	ABW	0,2					merken;		
Reineke	Paderborn	ABW	0,2					merken;		
